Geo Point;Geo Shape;id_sir_gp_ecrase_faune;axe;cumuld;plod;absd;date_releve;espece;commune;commentaires;animal_vivant;nb_individus;date_creation;date_modif;source_releve
45.1419535228,5.19459345623;"{""type"": ""Point"", ""coordinates"": [5.194593456226139, 45.141953522826675]}";835;D68;10503;10;500;2016-12-18;Autres;Montagne;Lièvre;OUI;1;2018-04-04;2020-03-05;D38
45.6931764071,5.3982762098;"{""type"": ""Point"", ""coordinates"": [5.398276209799523, 45.6931764071497]}";398;D517;30631;30;500;;Blaireau européen;Passins;;;;2015-03-10;2020-03-05;D38
45.3222080962,5.53217826376;"{""type"": ""Point"", ""coordinates"": [5.532178263758567, 45.322208096165014]}";156;D1092;45091;44;750;2012-10-03;Blaireau européen;Vourey;;;;2013-04-05;2020-03-05;D38
45.1439611718,5.62045458166;"{""type"": ""Point"", ""coordinates"": [5.620454581655764, 45.14396117179819]}";101;D106;22679;23;0;2009-12-03;Autres;Saint-Nizier-du-Moucherotte;Ecureuil noir;;;2012-12-03;2020-03-05;D38
45.1078764082,5.56448527806;"{""type"": ""Point"", ""coordinates"": [5.564485278057129, 45.10787640819771]}";38;D531;35298;37;100;2007-07-17;Chevreuil européen;Lans-en-Vercors;Bouilly;;;2012-12-03;2020-03-05;D38
44.9298659955,5.63947808368;"{""type"": ""Point"", ""coordinates"": [5.63947808368364, 44.929865995532346]}";604;D1075;126227;119;800;2015-09-13;Renard roux;Monestier-de-Clermont;;NON;1;2016-03-08;2020-03-05;D38
45.7085771691,5.44370468375;"{""type"": ""Point"", ""coordinates"": [5.443704683747541, 45.70857716908541]}";684;D1075;24773;19;0;2016-04-29;Mammifère indéterminé;PASSINS;Ragondin;NON;1;2018-04-04;2020-03-05;D38
45.860378,5.38984693483;"{""type"": ""Point"", ""coordinates"": [5.389846934832451, 45.86037799999458]}";2746;D1075;4417;2;500;2017-02-24;Ecureuil roux;VERTRIEU;;NON;1;2020-09-07;2020-09-07;D38
44.9420416348,5.85710113049;"{""type"": ""Point"", ""coordinates"": [5.857101130486043, 44.94204163476124]}";1066;D114;10070;10;100;2017-07-27;Renard roux;NANTES EN RATTIER;;NON;1;2019-02-14;2020-03-05;D38
45.3408543972,5.81235444555;"{""type"": ""Point"", ""coordinates"": [5.812354445552605, 45.34085439717864]}";256;D512;12037;12;0;2013-09-16;Blaireau européen;Saint-Pierre-de-Chartreuse;;;;2014-04-02;2020-03-05;D38
45.0395945905,5.82168671558;"{""type"": ""Point"", ""coordinates"": [5.821686715582212, 45.039594590518675]}";735;D114;33852;34;;2016-05-03;Chevreuil européen;St Barthelemy de Séchilienne;;OUI;2;2018-04-04;2020-03-05;D38
44.7877142391,5.64161230481;"{""type"": ""Point"", ""coordinates"": [5.641612304812226, 44.78771423911283]}";1421;D1075;149872;144;0;2018-07-16;Autres;Monestier du Percy;Lièvre;NON;1;2020-03-05;2020-03-05;D38
44.8265743566,5.64792042909;"{""type"": ""Point"", ""coordinates"": [5.647920429094561, 44.82657435656641]}";1318;D526;3502;3;500;2017-02-09;Blaireau européen;Clelles;;NON;1;2020-03-05;2020-03-05;D38
45.3911241375,5.51165550462;"{""type"": ""Point"", ""coordinates"": [5.511655504620172, 45.3911241374893]}";933;D50;4870;5;0;2016-02-10;Renard roux;St Blaise du Buis;;OUI;1;2018-04-04;2020-03-05;D38
45.3708378044,5.99023532133;"{""type"": ""Point"", ""coordinates"": [5.990235321325067, 45.37083780441996]}";178;D523;29500;29;500;2012-02-06;Renard roux;Le Cheylas;;;;2014-04-02;2020-03-05;D38
44.7783114403,5.69991599875;"{""type"": ""Point"", ""coordinates"": [5.699915998750914, 44.77831144029279]}";1454;D216;4065;4;160;2019-03-12;Blaireau européen;Prebois;;NON;1;2020-03-05;2020-03-05;D38
45.5488063878,5.50907821857;"{""type"": ""Point"", ""coordinates"": [5.509078218569078, 45.54880638779366]}";497;D1006;39846;38;500;2014-09-23;Fouine;St Didier de la Tour;;;;2015-03-10;2020-03-05;D38
45.14507818,5.60803679999;"{""type"": ""Point"", ""coordinates"": [5.608036799987659, 45.145078180023134]}";105;D106;23969;24;300;2010-03-02;Chevreuil européen;Saint-Nizier-du-Moucherotte;Bois des Murs;;;2012-12-03;2020-03-05;D38
45.3597143088,5.98536163664;"{""type"": ""Point"", ""coordinates"": [5.985361636638735, 45.35971430875529]}";279;D523;28188;28;200;2012-07-04;Renard roux;Le Cheylas;;;;2014-04-03;2020-03-05;D38
44.8983250279,5.61492129864;"{""type"": ""Point"", ""coordinates"": [5.614921298642295, 44.898325027948836]}";1488;D1075;130746;124;0;2019-08-12;Blaireau européen;ROISSARD;;NON;1;2020-03-05;2020-03-05;D38
45.467828823,5.58123362364;"{""type"": ""Point"", ""coordinates"": [5.581233623637083, 45.46782882299524]}";272;D1075;57228;51;10;2014-01-09;Martre;Montferrat;;;;2014-04-02;2020-03-05;D38
45.469616252,5.56331662818;"{""type"": ""Point"", ""coordinates"": [5.563316628178331, 45.46961625203483]}";1137;D90;1252;1;250;2018-09-14;Hérisson d'Europe;Montferrat;;NON;1;2019-02-14;2020-03-05;D38
45.3786454502,4.98707333153;"{""type"": ""Point"", ""coordinates"": [4.987073331533745, 45.378645450210215]}";577;D51;48963;48;940;2015-03-23;Blaireau européen;Moissieu-sur-Dolon;Blaireau;NON;1;2016-03-08;2020-03-05;D38
45.2542542681,5.5193742333;"{""type"": ""Point"", ""coordinates"": [5.519374233303973, 45.254254268071165]}";354;D1532;32561;31;0;2014-05-10;Sanglier;St Quentin/Isère;;;;2015-03-10;2020-03-05;D38
44.8223497986,5.67343794373;"{""type"": ""Point"", ""coordinates"": [5.67343794373262, 44.82234979863826]}";906;D526;6254;6;300;2016-04-04;Blaireau européen;Cornillon-en-Trièves;;OUI;1;2018-04-04;2020-03-05;D38
44.8822284929,6.00342442535;"{""type"": ""Point"", ""coordinates"": [6.003424425354297, 44.8822284928675]}";1047;D117;5590;5;600;2017-06-28;Renard roux;valjouffrey;;NON;1;2019-02-14;2020-03-05;D38
45.453567174,5.56819864702;"{""type"": ""Point"", ""coordinates"": [5.568198647015161, 45.45356717403974]}";204;D1075;59217;53;0;2013-01-30;Chevreuil européen;Bilieu;;;;2014-04-02;2020-03-05;D38
45.7661516054,5.09104026514;"{""type"": ""Point"", ""coordinates"": [5.091040265141989, 45.766151605354686]}";383;D517;350;0;350;2014-04-14;Hérisson d'Europe;Janneyrias;;;;2015-03-10;2020-03-05;D38
45.770876409,5.40157358565;"{""type"": ""Point"", ""coordinates"": [5.40157358564637, 45.770876409025455]}";2743;D1075;15976;10;200;2017-02-20;Hérisson d'Europe;COURTENAY;;NON;1;2020-09-07;2020-09-07;D38
44.9830382373,5.64670852589;"{""type"": ""Point"", ""coordinates"": [5.646708525885914, 44.98303823726001]}";595;D110;600;0;600;2015-12-16;Sanglier;Saint-Martin-de-la-Cluze;Marcassin;NON;1;2016-03-08;2020-03-05;D38
45.5035575366,5.59350643066;"{""type"": ""Point"", ""coordinates"": [5.593506430661089, 45.503557536611474]}";336;D1075;53011;46;800;2014-09-24;Blaireau européen;La Batie Divisin;;;;2015-03-10;2020-03-05;D38
45.4558117529,5.57315639101;"{""type"": ""Point"", ""coordinates"": [5.573156391012557, 45.45581175289287]}";988;D1075;58720;52;500;2016-06-15;Autres;Montferrat;Lièvre;NON;1;2018-04-04;2020-03-05;D38
45.170196637,5.63891747593;"{""type"": ""Point"", ""coordinates"": [5.638917475934739, 45.17019663703483]}";131;D106;17225;17;500;2012-05-20;Blaireau européen;Saint-Nizier-du-Moucherotte;romanet;;;2012-12-03;2020-03-05;D38
44.8409192114,5.74026937669;"{""type"": ""Point"", ""coordinates"": [5.74026937668993, 44.8409192113641]}";1396;D526;18057;18;100;2018-02-26;Blaireau européen;Mens;;NON;1;2020-03-05;2020-03-05;D38
45.0986725377,5.55806325635;"{""type"": ""Point"", ""coordinates"": [5.558063256353517, 45.09867253771794]}";35;D531;34148;36;0;2011-04-27;Cerf élaphe;Lans-en-Vercors;La Cote;;;2012-12-03;2020-03-05;D38
45.3145889397,5.6061264055;"{""type"": ""Point"", ""coordinates"": [5.606126405495915, 45.31458893969708]}";960;D1085;47058;47;0;2016-03-14;Chevreuil européen;Voreppe;;NON;1;2018-04-04;2020-03-05;D38
45.4398543973,5.51534020778;"{""type"": ""Point"", ""coordinates"": [5.515340207780723, 45.43985439729093]}";201;D50;12687;12;800;2013-01-24;Ecureuil roux;Charavines;;;;2014-04-02;2020-03-05;D38
45.5729975693,5.33895284473;"{""type"": ""Point"", ""coordinates"": [5.33895284472861, 45.57299756927764]}";540;D1006;25510;24;500;2015-03-25;Chevreuil européen;Ruy-Montceau;Chevreuil;NON;1;2016-03-08;2020-03-05;D38
45.5875085743,5.58146522843;"{""type"": ""Point"", ""coordinates"": [5.58146522842629, 45.58750857429732]}";488;D82;30481;30;0;2014-06-23;Fouine;Chimilin;;;;2015-03-10;2020-03-05;D38
45.4150038395,5.75026295294;"{""type"": ""Point"", ""coordinates"": [5.750262952938495, 45.4150038395331]}";236;D520;52198;51;985;2013-06-04;Renard roux;Entre-deux-Guiers;;;;2014-04-02;2020-03-05;D38
45.6706043777,5.20696496423;"{""type"": ""Point"", ""coordinates"": [5.206964964229719, 45.67060437765013]}";367;D18;8831;9;400;2014-04-01;Fouine;Panossas;;;;2015-03-10;2020-03-05;D38
45.0154930573,5.87245102993;"{""type"": ""Point"", ""coordinates"": [5.872451029931865, 45.01549305732012]}";1061;D114;20445;20;500;2017-12-01;Autres;la Morte;Lièvre;NON;1;2019-02-14;2020-03-05;D38
45.3814804435,5.70715278846;"{""type"": ""Point"", ""coordinates"": [5.707152788459252, 45.38148044348006]}";339;D520;46264;46;44;2014-09-30;Autres;St Joseph de Rivière;Putois;;;2015-03-10;2020-03-05;D38
45.7752895263,5.13220779898;"{""type"": ""Point"", ""coordinates"": [5.132207798977801, 45.775289526294635]}";2811;D124Z;4948;5;500;2019-02-19;Lapin;Villette d'Anthon;;NON;1;2020-09-07;2020-09-07;D38
45.3603848824,5.30963136916;"{""type"": ""Point"", ""coordinates"": [5.309631369161078, 45.36038488235661]}";562;D119;13670;13;650;2014-06-19;Oiseau de petit taille indéterminé;Brézins;Pigeon ramier;NON;1;2016-03-08;2020-03-05;D38
44.9336024449,5.86001808905;"{""type"": ""Point"", ""coordinates"": [5.86001808904888, 44.933602444891235]}";728;D114A;2087;2;100;2016-02-02;Cerf élaphe;Oris en Rattier;;OUI;2;2018-04-04;2020-03-05;D38
44.8822807191,5.61915055143;"{""type"": ""Point"", ""coordinates"": [5.61915055142849, 44.88228071908744]}";913;D1075;132748;126;;2016-11-14;Autres;ROISSARD;Lièvre;NON;1;2018-04-04;2020-03-05;D38
45.6283152827,5.50429308683;"{""type"": ""Point"", ""coordinates"": [5.504293086834946, 45.62831528267598]}";2760;D16G;993;1;0;2017-12-20;Ecureuil roux;VEYRINS THUELLIN;;NON;1;2020-09-07;2020-09-07;D38
44.9441377629,5.64734762296;"{""type"": ""Point"", ""coordinates"": [5.647347622962283, 44.944137762903836]}";916;D110F;800;0;800;2016-12-10;Blaireau européen;SINARD;;NON;1;2018-04-04;2020-03-05;D38
44.8288820718,5.75235627328;"{""type"": ""Point"", ""coordinates"": [5.752356273282299, 44.82888207183473]}";1415;D526;15742;15;820;2018-06-21;Autres;Mens;Lièvre;NON;1;2020-03-05;2020-03-05;D38
45.1078764082,5.56448527806;"{""type"": ""Point"", ""coordinates"": [5.564485278057129, 45.10787640819771]}";41;D531;35298;37;100;2009-10-06;Blaireau européen;Lans-en-Vercors;Bouilly;;;2012-12-03;2020-03-05;D38
44.7920147562,5.92738822156;"{""type"": ""Point"", ""coordinates"": [5.927388221562566, 44.79201475618014]}";1164;D217;6769;6;800;2018-08-24;Cerf élaphe;monestier d'ambel;cerf;OUI;1;2019-02-18;2020-03-05;D38
45.117660049,5.57184886243;"{""type"": ""Point"", ""coordinates"": [5.571848862431244, 45.11766004897393]}";638;D531;36685;38;500;2015-06-21;Blaireau européen;Lans-en-Vercors;;NON;1;2016-03-08;2020-03-05;D38
45.1086638311,5.56509789721;"{""type"": ""Point"", ""coordinates"": [5.565097897207147, 45.10866383112624]}";632;D531;35398;37;200;2015-05-23;Chevreuil européen;Lans-en-Vercors;;NON;1;2016-03-08;2020-03-05;D38
45.4568835995,5.54537111916;"{""type"": ""Point"", ""coordinates"": [5.545371119160357, 45.45688359946411]}";1015;D90;3309;3;300;2016-12-21;Oiseau de petit taille indéterminé;Montferrat;Faisan;NON;1;2018-04-04;2020-03-05;D38
45.5366609291,5.22824935517;"{""type"": ""Point"", ""coordinates"": [5.22824935517323, 45.53666092905399]}";546;D522;7917;8;0;2015-09-09;Blaireau européen;Saint-Agnin-su- Bion;Blaireau;NON;1;2016-03-08;2020-03-05;D38
45.7923023265,5.40191459925;"{""type"": ""Point"", ""coordinates"": [5.401914599249514, 45.79230232645894]}";1380;D1075;13572;7;800;2017-10-23;Cerf élaphe;Lus-La-Croix-Haute;;NON;1;2020-03-05;2020-03-05;D38
45.0610209681,5.27665796577;"{""type"": ""Point"", ""coordinates"": [5.276657965771289, 45.0610209680877]}";362;D531;845;2;500;2014-09-01;Fouine;St Juste de Claix;;;;2015-03-10;2020-03-05;D38
45.6438028089,5.49659019274;"{""type"": ""Point"", ""coordinates"": [5.496590192744205, 45.64380280894657]}";393;D1075;33685;27;500;;Chevreuil européen;Veyrins-Thuellin;;;;2015-03-10;2020-03-05;D38
45.3783226355,5.57146381592;"{""type"": ""Point"", ""coordinates"": [5.571463815923106, 45.37832263545435]}";261;D1076;1055;1;50;2013-10-27;Martre;Voiron;;;;2014-04-02;2020-03-05;D38
45.1997894872,5.34792171393;"{""type"": ""Point"", ""coordinates"": [5.347921713927932, 45.199789487153275]}";790;D518;69612;70;100;2016-03-12;Renard roux;St Vérand;;OUI;1;2018-04-04;2020-03-05;D38
44.8620141311,5.76966068376;"{""type"": ""Point"", ""coordinates"": [5.769660683759023, 44.86201413110257]}";1397;D526;23584;23;600;2018-02-28;Ecureuil roux;Saint-Jean-d'Hérans;;NON;1;2020-03-05;2020-03-05;D38
45.1218392324,5.57417779376;"{""type"": ""Point"", ""coordinates"": [5.57417779376395, 45.12183923244499]}";44;D531;37198;39;0;2007-06-12;Hérisson d'Europe;Lans-en-Vercors;Croix Vercors;;;2012-12-03;2020-03-05;D38
44.8522361738,5.62038175014;"{""type"": ""Point"", ""coordinates"": [5.62038175013856, 44.85223617378716]}";1328;D1075;138747;132;0;2017-03-08;Cerf élaphe;Saint Martin de Clelles;biche;NON;1;2020-03-05;2020-03-05;D38
44.7649887556,5.89152084962;"{""type"": ""Point"", ""coordinates"": [5.891520849621754, 44.764988755623484]}";1155;D537;11565;11;600;2018-05-15;Couleuvre verte et jaune;pellafol;;OUI;1;2019-02-18;2020-03-05;D38
45.1721416805,5.54811233791;"{""type"": ""Point"", ""coordinates"": [5.548112337914524, 45.17214168049326]}";1243;D106C;1988;2;0;2017-04-24;Blaireau européen;Autrans;;NON;1;2019-04-30;2020-03-05;D38
45.1748665656,5.64797829493;"{""type"": ""Point"", ""coordinates"": [5.647978294928416, 45.174866565568124]}";641;D106;14454;14;800;2015-07-08;Renard roux;Saint-Nizier-du-Moucherotte;;NON;1;2016-03-08;2020-03-05;D38
45.2821457695,5.54456201178;"{""type"": ""Point"", ""coordinates"": [5.544562011779917, 45.28214576953686]}";139;D1532;36332;34;790;2012-02-17;Blaireau européen;Saint-Quentin-sur-Isère;;;;2013-04-05;2020-03-05;D38
45.360872059,5.4686926571;"{""type"": ""Point"", ""coordinates"": [5.468692657101021, 45.360872058954435]}";1116;D519;48172;54;0;2018-04-11;Lièvre Européen;Rives;;NON;1;2019-02-14;2020-03-05;D38
45.3232871567,5.53823707816;"{""type"": ""Point"", ""coordinates"": [5.538237078159705, 45.32328715669576]}";280;D1092;45582;45;220;2014-01-12;Renard roux;Moirans;;;;2015-03-10;2020-03-05;D38
45.0879161899,5.55493179803;"{""type"": ""Point"", ""coordinates"": [5.554931798029552, 45.087916189905904]}";28;D531;32917;34;735;2011-05-09;Chat;Villard-de-Lans;Les Geymonds;;;2012-12-03;2020-03-05;D38
45.0836935924,5.52007905276;"{""type"": ""Point"", ""coordinates"": [5.520079052761087, 45.08369359244059]}";2;D531;26114;28;0;2010-05-12;Blaireau européen;Villard-de-Lans;Barrage des Jarrands;;;2012-12-03;2020-03-05;D38
44.9621667138,5.71565300681;"{""type"": ""Point"", ""coordinates"": [5.715653006810381, 44.962166713848774]}";721;D529;16922;17;100;2016-01-16;Chevreuil européen;La Motte d'Aveillans;;NON;1;2018-04-04;2020-03-05;D38
44.919794414,5.63464364342;"{""type"": ""Point"", ""coordinates"": [5.634643643418478, 44.91979441398757]}";1320;D1075;127454;121;0;2017-02-15;Mammifère indéterminé;MONESTIER DE CLERMONT;CHAT DOMESTIQUE;NON;1;2020-03-05;2020-03-05;D38
45.4363607617,4.95150837071;"{""type"": ""Point"", ""coordinates"": [4.951508370713138, 45.43636076174945]}";570;D37;20509;20;500;2014-09-22;Fouine;Montseveroux;;NON;1;2016-03-08;2020-03-05;D38
45.1010841367,5.30995945948;"{""type"": ""Point"", ""coordinates"": [5.309959459475303, 45.10108413665649]}";363;D1532;7095;5;500;2014-09-01;Autres;St Romans;Lièvre;;;2015-03-10;2020-03-05;D38
45.170196637,5.63891747593;"{""type"": ""Point"", ""coordinates"": [5.638917475934739, 45.17019663703483]}";656;D106;17225;17;500;2015-11-18;Chevreuil européen;Saint-Nizier-du-Moucherotte;;NON;1;2016-03-08;2020-03-05;D38
45.6488858783,5.12557796004;"{""type"": ""Point"", ""coordinates"": [5.125577960041042, 45.64888587830479]}";470;D1006;4805;4;800;2014-09-18;Renard roux;;;;;2015-03-10;2020-03-05;D38
45.3418861588,5.61128188497;"{""type"": ""Point"", ""coordinates"": [5.611281884972269, 45.34188615875212]}";337;D1075;75110;68;451;2014-09-25;Chevreuil européen;La Buisse;;;;2015-03-10;2020-03-05;D38
45.3228800194,5.59449889513;"{""type"": ""Point"", ""coordinates"": [5.59449889513149, 45.32288001936073]}";149;D1085;45747;45;700;2012-05-29;Autres;Moirans;Ragondin;;;2013-04-05;2020-03-05;D38
45.5017429056,5.59314848669;"{""type"": ""Point"", ""coordinates"": [5.593148486694058, 45.501742905610925]}";270;D1075;53215;47;0;2014-01-06;Blaireau européen;La Bâtie-Divisin;;;;2014-04-02;2020-03-05;D38
45.4679113036,5.58128502117;"{""type"": ""Point"", ""coordinates"": [5.581285021168486, 45.467911303572095]}";1009;D1075;57218;51;0;2016-12-03;Autres;Montferrat;Lièvre;NON;1;2018-04-04;2020-03-05;D38
45.5768915557,5.33346094573;"{""type"": ""Point"", ""coordinates"": [5.3334609457334, 45.576891555650555]}";545;D1006;24899;23;900;2015-12-01;Sanglier;Ruy-Montceau;Marcassin;NON;1;2016-03-08;2020-03-05;D38
45.7612061338,5.29505703614;"{""type"": ""Point"", ""coordinates"": [5.295057036135567, 45.76120613376243]}";690;D52I;5271;5;300;2016-02-04;Blaireau européen;ANNOISIN;;NON;1;2018-04-04;2020-03-05;D38
44.7635932311,5.59699606832;"{""type"": ""Point"", ""coordinates"": [5.596996068317247, 44.7635932310692]}";869;D7;11821;11;800;2016-06-29;Chevreuil européen;Chichilianne;;NON;1;2018-04-04;2020-03-05;D38
45.6285753369,5.13773800383;"{""type"": ""Point"", ""coordinates"": [5.13773800382624, 45.62857533685268]}";468;D313;1810;1;800;2014-05-26;Chevreuil européen;;;;;2015-03-10;2020-03-05;D38
45.3920606019,5.97484571534;"{""type"": ""Point"", ""coordinates"": [5.974845715338915, 45.39206060188408]}";192;D1090;32539;31;600;2012-07-17;Blaireau européen;Sainte-Marie-d'Alloix;;;;2014-04-02;2020-03-05;D38
45.0711663,5.54115588932;"{""type"": ""Point"", ""coordinates"": [5.541155889319274, 45.07116629996843]}";629;D215C;800;0;800;2015-05-12;Reptile indéterminé;Villard-de-Lans;Vipère;NON;1;2016-03-08;2020-03-05;D38
45.7274997592,5.23090366671;"{""type"": ""Point"", ""coordinates"": [5.23090366671275, 45.72749975923739]}";1202;D75;37157;37;0;2017-09-12;Autres;Villemoirieu;Ragondin;NON;1;2019-04-30;2020-03-05;D38
45.5496564978,4.93214591749;"{""type"": ""Point"", ""coordinates"": [4.932145917486805, 45.54965649780393]}";510;D75;3522;3;500;2014-12-31;Chevreuil européen;Pont-Évêque;;Non;1;2015-11-09;2020-03-05;D38
45.1439611718,5.62045458166;"{""type"": ""Point"", ""coordinates"": [5.620454581655764, 45.14396117179819]}";116;D106;22679;23;0;2011-04-12;Chevreuil européen;Saint-Nizier-du-Moucherotte;Bois des Murs;;;2012-12-03;2020-03-05;D38
44.8977764249,5.92904477217;"{""type"": ""Point"", ""coordinates"": [5.929044772168447, 44.89777642491867]}";1172;D526;40728;40;900;2018-10-05;Renard roux;valbonnais;Renard;OUI;1;2019-02-18;2020-03-05;D38
45.2771096898,5.61797043316;"{""type"": ""Point"", ""coordinates"": [5.61797043315693, 45.27710968976879]}";1086;D1532;44615;43;100;2017-05-16;Sanglier;Veurey Voroise;;NON;1;2019-02-14;2020-03-05;D38
45.524919676,5.3051239994;"{""type"": ""Point"", ""coordinates"": [5.305123999398231, 45.5249196760396]}";416;D1085;7248;7;200;2014-04-09;Chevreuil européen;;;;;2015-03-10;2020-03-05;D38
45.4529089772,5.58534985722;"{""type"": ""Point"", ""coordinates"": [5.585349857217923, 45.45290897719021]}";993;D82J;2001;2;0;2016-08-30;Fouine;Massieu;;NON;1;2018-04-04;2020-03-05;D38
45.4691426732,5.45668483965;"{""type"": ""Point"", ""coordinates"": [5.45668483964945, 45.4691426732475]}";508;D73;11149;11;0;2014-01-15;Chevreuil européen;Virieu;;;;2015-03-10;2020-03-05;D38
45.0066937488,5.65552739371;"{""type"": ""Point"", ""coordinates"": [5.655527393712537, 45.00669374879131]}";1352;D1075;116915;110;500;2017-05-29;Blaireau européen;ST MARTIN DE LA CLUZE;;NON;1;2020-03-05;2020-03-05;D38
45.1052360071,5.53006015102;"{""type"": ""Point"", ""coordinates"": [5.530060151018251, 45.10523600709434]}";647;D106;41722;42;200;2015-08-20;Blaireau européen;Autrans-Méaudre-en-Vercors;;NON;1;2016-03-08;2020-03-05;D38
45.342967224,5.66594686727;"{""type"": ""Point"", ""coordinates"": [5.665946867267678, 45.34296722396597]}";217;D520A;2508;2;500;2013-03-06;Chevreuil européen;Saint-Julien-de-Raz;;;;2014-04-02;2020-03-05;D38
44.8916165171,5.61762163346;"{""type"": ""Point"", ""coordinates"": [5.617621633458032, 44.8916165171212]}";601;D1075;131546;124;800;2015-11-19;Sanglier;Roissard;;NON;1;2016-03-08;2020-03-05;D38
45.1761832066,5.64811702804;"{""type"": ""Point"", ""coordinates"": [5.648117028040745, 45.17618320661404]}";82;D106;14604;14;950;2007-06-18;Renard roux;Saint-Nizier-du-Moucherotte;Les travers;;;2012-12-03;2020-03-05;D38
45.17221843,5.53880669256;"{""type"": ""Point"", ""coordinates"": [5.538806692556447, 45.172218429955535]}";1034;D106C;3853;3;900;2016-10-31;Renard roux;Autrans;;NON;1;2018-04-04;2020-03-05;D38
45.4397809891,5.6600690804;"{""type"": ""Point"", ""coordinates"": [5.660069080399782, 45.439780989130156]}";934;D49C;10509;10;500;2016-02-10;Chevreuil européen;Merlas;;OUI;1;2018-04-04;2020-03-05;D38
45.1394264504,5.52631541354;"{""type"": ""Point"", ""coordinates"": [5.526315413535467, 45.1394264503585]}";651;D106C;7709;7;800;2015-10-02;Mammifère indéterminé;Autrans-Méaudre-en-Vercors;Cheval;NON;1;2016-03-08;2020-03-05;D38
45.4571895597,5.64015510197;"{""type"": ""Point"", ""coordinates"": [5.640155101968573, 45.45718955970817]}";247;D82;7209;6;1228;2013-07-15;Blaireau européen;Saint-Geoire-en-Valdaine;;;;2014-04-02;2020-03-05;D38
45.7524188322,5.40373006372;"{""type"": ""Point"", ""coordinates"": [5.403730063715839, 45.75241883215719]}";680;D1075;18074;12;300;2016-03-04;Blaireau européen;COURTENAY;;NON;1;2018-04-04;2020-03-05;D38
45.3903751739,5.34269994649;"{""type"": ""Point"", ""coordinates"": [5.342699946492136, 45.39037517387916]}";553;D73;26941;26;700;2014-05-10;Blaireau européen;Saint-Hilaire-de-la-Côte;Blaireau;NON;1;2016-03-08;2020-03-05;D38
45.7497992853,5.20572452619;"{""type"": ""Point"", ""coordinates"": [5.205724526188948, 45.74979928529377]}";717;D517;10340;9;600;2016-11-30;Sanglier;TIGNIEU JAMEYZIEU;;NON;1;2018-04-04;2020-03-05;D38
44.8111125643,5.62964834384;"{""type"": ""Point"", ""coordinates"": [5.629648343842354, 44.81111256425995]}";861;D1075;146205;140;0;2016-04-20;Autres;Clelles;Lièvre;NON;1;2018-04-04;2020-03-05;D38
44.7878776731,5.75815907387;"{""type"": ""Point"", ""coordinates"": [5.758159073872953, 44.7878776731489]}";1325;D66;23767;23;850;2017-03-02;Oiseau sp;Saint-Baudille-et-Pipet;;NON;1;2020-03-05;2020-03-05;D38
45.0839931612,5.53083811918;"{""type"": ""Point"", ""coordinates"": [5.53083811917821, 45.08399316115782]}";1271;D531;27166;29;0;2017-08-07;Ecureuil roux;Villard de Lans;;NON;1;2019-04-30;2020-03-05;D38
45.3805326905,5.70536254871;"{""type"": ""Point"", ""coordinates"": [5.705362548706939, 45.38053269051952]}";1099;D520;46088;45;900;2017-11-09;Blaireau européen;St Joseph de Rivière;;NON;1;2019-02-14;2020-03-05;D38
44.9565862744,5.56953634255;"{""type"": ""Point"", ""coordinates"": [5.569536342547208, 44.95658627442454]}";1461;D242A;2477;2;500;2019-04-15;Ecureuil roux;ST GUILLAUME;;NON;1;2020-03-05;2020-03-05;D38
44.8745552132,5.72853303025;"{""type"": ""Point"", ""coordinates"": [5.728533030254399, 44.87455521318024]}";1156;D116;8721;9;500;2018-06-06;Autres;marcieu;Chamois;OUI;1;2019-02-18;2020-03-05;D38
45.4193609493,5.55319154908;"{""type"": ""Point"", ""coordinates"": [5.553191549079047, 45.41936094927066]}";321;D1075;63458;57;246;2014-06-26;Chouette;Chirens;;;;2015-03-10;2020-03-05;D38
45.497157021,5.49135062831;"{""type"": ""Point"", ""coordinates"": [5.491350628308336, 45.49715702098981]}";507;D73;6971;7;0;2015-01-14;Chevreuil européen;Chelieu;;;;2015-03-10;2020-03-05;D38
44.7904486496,5.63372593645;"{""type"": ""Point"", ""coordinates"": [5.633725936453112, 44.79044864962356]}";1385;D1075;149072;143;200;2017-12-26;Sanglier;Le Percy;;NON;1;2020-03-05;2020-03-05;D38
45.5804202275,5.48890059191;"{""type"": ""Point"", ""coordinates"": [5.488900591911873, 45.58042022754042]}";482;D145C;1191;1;250;2014-03-31;Blaireau européen;St Clair de la Tour;;;;2015-03-10;2020-03-05;D38
45.3409165814,5.61239225853;"{""type"": ""Point"", ""coordinates"": [5.612392258531183, 45.34091658137056]}";227;D1075;75249;68;590;2013-03-30;Blaireau européen;La Buisse;;;;2014-04-02;2020-03-05;D38
45.4478959973,5.58485919206;"{""type"": ""Point"", ""coordinates"": [5.584859192063145, 45.44789599725847]}";327;D82J;1435;1;500;2014-07-28;Autres;Massieu;Belette;;;2015-03-10;2020-03-05;D38
44.8405206276,5.71773915761;"{""type"": ""Point"", ""coordinates"": [5.717739157609016, 44.84052062763108]}";585;D34;14231;14;100;;Chevreuil européen;Cornillon-en-Trièves;;NON;1;2016-03-08;2020-03-05;D38
45.4192487303,5.55304382171;"{""type"": ""Point"", ""coordinates"": [5.553043821713679, 45.41924873031336]}";1008;D1075;63475;57;263;2016-11-19;Sanglier;Chirens;;NON;1;2018-04-04;2020-03-05;D38
